estimate,lowci,highci,true_fifth,pass,distance,obs,sd,estimator
182.6730653,170.4160238,204.5999204,183.2094,TRUE,-0.536334731,10,10,belitz
178.8559681,167.6244663,179.1896123,183.2094,FALSE,-4.353431944,10,10,belitz
173.8147196,168.9154506,186.5700173,183.2094,TRUE,-9.394680392,10,10,belitz
170.0436902,155.337034,176.9202493,183.2094,FALSE,-13.16570983,10,10,belitz
169.170358,166.2933195,176.4898284,183.2094,FALSE,-14.03904198,10,10,belitz
162.1116462,160.6736077,162.1844612,183.2094,FALSE,-21.09775381,10,10,belitz
186.6534521,168.4660207,197.8923176,183.2094,TRUE,3.444052125,10,10,belitz
171.0904618,170.0299621,173.179031,183.2094,FALSE,-12.11893817,10,10,belitz
187.5211318,169.6583331,198.2325916,183.2094,TRUE,4.311731801,10,10,belitz
168.7047463,161.1639869,188.9728936,183.2094,TRUE,-14.50465374,10,10,belitz
177.3176459,176.0067711,181.6251358,183.2094,FALSE,-5.891754132,10,10,belitz
174.915692,160.9262318,182.8752229,183.2094,FALSE,-8.293708042,10,10,belitz
180.8443318,167.7989902,190.8390265,183.2094,TRUE,-2.365068195,10,10,belitz
178.4490725,171.5620402,193.1379334,183.2094,TRUE,-4.760327462,10,10,belitz
167.4122677,166.1291167,167.5927785,183.2094,FALSE,-15.79713233,10,10,belitz
183.9276605,183.3366777,186.7208658,183.2094,FALSE,0.71826052,10,10,belitz
174.2593752,168.9664684,190.6466878,183.2094,TRUE,-8.950024782,10,10,belitz
181.1049917,177.2755806,204.8303895,183.2094,TRUE,-2.104408336,10,10,belitz
170.4131578,168.3078965,176.1974875,183.2094,FALSE,-12.79624224,10,10,belitz
184.6260199,170.0048709,190.862266,183.2094,TRUE,1.416619925,10,10,belitz
168.0879819,161.6983834,179.4533386,183.2094,FALSE,-15.12141806,10,10,belitz
174.9179954,173.176125,176.6089054,183.2094,FALSE,-8.291404554,10,10,belitz
174.0209253,169.2057702,183.3493403,183.2094,TRUE,-9.188474674,10,10,belitz
172.6728852,153.2562766,177.7741192,183.2094,FALSE,-10.5365148,10,10,belitz
173.7655226,172.1870752,176.1657681,183.2094,FALSE,-9.443877362,10,10,belitz
193.2757268,180.4368149,197.5525465,183.2094,TRUE,10.06632677,10,10,belitz
183.2925184,181.3386066,202.2279747,183.2094,TRUE,0.083118385,10,10,belitz
178.0469171,174.7197034,190.0834353,183.2094,TRUE,-5.162482918,10,10,belitz
172.5873499,167.2811433,186.1403585,183.2094,TRUE,-10.62205009,10,10,belitz
178.680658,173.9887118,196.1773124,183.2094,TRUE,-4.528742041,10,10,belitz
145.2936591,126.6348239,148.5604281,167.6472,FALSE,-22.35354086,10,20,belitz
158.3493312,156.5101613,163.2595848,167.6472,FALSE,-9.297868789,10,20,belitz
166.6383794,155.3404294,179.2238571,167.6472,TRUE,-1.008820607,10,20,belitz
172.0043884,165.7261533,186.5471762,167.6472,TRUE,4.357188412,10,20,belitz
152.5889053,133.7713819,166.5889567,167.6472,FALSE,-15.05829474,10,20,belitz
163.018915,152.4246995,177.1124264,167.6472,TRUE,-4.628284957,10,20,belitz
169.0587504,146.404097,189.2894359,167.6472,TRUE,1.411550351,10,20,belitz
172.1306979,170.1043818,175.1335135,167.6472,FALSE,4.483497909,10,20,belitz
156.1933491,153.0771046,160.2723351,167.6472,FALSE,-11.45385085,10,20,belitz
169.8232184,158.711824,191.0519502,167.6472,TRUE,2.176018392,10,20,belitz
164.6892807,150.7053394,187.2903254,167.6472,TRUE,-2.957919305,10,20,belitz
170.0155553,164.0663047,176.2401239,167.6472,TRUE,2.368355331,10,20,belitz
165.3343849,163.2807816,166.6448918,167.6472,FALSE,-2.312815075,10,20,belitz
165.3624527,154.9735027,187.2566992,167.6472,TRUE,-2.284747298,10,20,belitz
150.3246177,148.0184417,152.5544921,167.6472,FALSE,-17.32258234,10,20,belitz
141.159981,120.6642073,173.1590093,167.6472,TRUE,-26.48721904,10,20,belitz
136.0376895,131.5579463,140.7089011,167.6472,FALSE,-31.60951045,10,20,belitz
163.7999294,143.4832353,186.4150759,167.6472,TRUE,-3.847270627,10,20,belitz
143.3903771,139.056457,158.909229,167.6472,FALSE,-24.25682295,10,20,belitz
164.149183,149.3823001,177.5292169,167.6472,TRUE,-3.498016983,10,20,belitz
171.0461467,168.6929718,176.869792,167.6472,FALSE,3.398946702,10,20,belitz
147.0663506,136.8779804,178.4550012,167.6472,TRUE,-20.58084936,10,20,belitz
154.300321,147.7456002,168.8798234,167.6472,TRUE,-13.346879,10,20,belitz
145.743175,140.9333026,158.0082276,167.6472,FALSE,-21.90402502,10,20,belitz
141.9784171,132.0483108,169.8775913,167.6472,TRUE,-25.66878294,10,20,belitz
155.4370936,149.9508324,168.5733532,167.6472,TRUE,-12.21010643,10,20,belitz
167.3516957,163.0916372,180.7861372,167.6472,TRUE,-0.295504291,10,20,belitz
172.482523,159.8957885,189.5686363,167.6472,TRUE,4.835323008,10,20,belitz
150.1504817,149.814507,150.8827589,167.6472,FALSE,-17.49671828,10,20,belitz
165.9570826,155.0940097,181.2789996,167.6472,TRUE,-1.690117384,10,20,belitz
149.996482,129.9465756,175.7895174,134.3476,TRUE,15.64888202,10,40,belitz
133.9634089,130.2220433,136.3325127,134.3476,TRUE,-0.384191118,10,40,belitz
144.3718637,134.9885402,186.824832,134.3476,FALSE,10.02426367,10,40,belitz
165.7448944,143.675023,217.6354573,134.3476,FALSE,31.39729437,10,40,belitz
141.2028383,140.1518539,140.1518539,134.3476,FALSE,6.855238257,10,40,belitz
132.2783855,129.32598,134.298821,134.3476,FALSE,-2.069214455,10,40,belitz
106.8926259,90.44064851,144.5071509,134.3476,TRUE,-27.45497409,10,40,belitz
145.5254069,134.3064171,164.5669888,134.3476,TRUE,11.17780688,10,40,belitz
139.9962153,128.7726523,167.322783,134.3476,TRUE,5.648615254,10,40,belitz
138.5529179,133.2778741,143.6610754,134.3476,TRUE,4.205317912,10,40,belitz
127.7781436,122.5525852,153.3277419,134.3476,TRUE,-6.569456394,10,40,belitz
114.3371246,91.17661005,169.4732094,134.3476,TRUE,-20.01047543,10,40,belitz
120.7112309,102.8635649,166.7820987,134.3476,TRUE,-13.63636913,10,40,belitz
135.6900392,126.4451815,145.8856421,134.3476,TRUE,1.342439229,10,40,belitz
113.7190539,91.79566106,153.0305819,134.3476,TRUE,-20.62854615,10,40,belitz
130.4388395,126.4390951,138.2642872,134.3476,TRUE,-3.908760463,10,40,belitz
156.5297994,147.136129,182.2926517,134.3476,FALSE,22.18219939,10,40,belitz
132.3824033,124.2052907,157.2348996,134.3476,TRUE,-1.965196652,10,40,belitz
109.6526001,109.6131391,109.6131391,134.3476,FALSE,-24.6949999,10,40,belitz
94.41871066,90.73872505,99.21380586,134.3476,FALSE,-39.92888934,10,40,belitz
106.1067376,103.5839606,106.7115038,134.3476,FALSE,-28.24086235,10,40,belitz
174.0731468,154.3683777,197.5200933,134.3476,FALSE,39.7255468,10,40,belitz
99.58799004,83.36543008,135.0597836,134.3476,TRUE,-34.75960996,10,40,belitz
129.2871539,126.7920279,134.0857527,134.3476,FALSE,-5.060446112,10,40,belitz
64.0909627,52.9921818,160.0532791,134.3476,TRUE,-70.2566373,10,40,belitz
122.5402747,114.3107205,133.989273,134.3476,FALSE,-11.80732527,10,40,belitz
158.1736291,151.4524114,166.2629164,134.3476,FALSE,23.82602905,10,40,belitz
132.9536287,112.7298566,173.0772496,134.3476,TRUE,-1.393971252,10,40,belitz
85.5232086,74.80503979,127.7891442,134.3476,FALSE,-48.8243914,10,40,belitz
115.4401872,111.1660909,126.6128264,134.3476,FALSE,-18.90741283,10,40,belitz
184.4777635,176.1468838,200.7003182,183.2094,TRUE,1.268363502,20,10,belitz
175.5365033,171.1786632,184.3253622,183.2094,TRUE,-7.672896708,20,10,belitz
181.0244934,173.408801,192.860287,183.2094,TRUE,-2.184906646,20,10,belitz
170.4868254,160.5424731,173.883264,183.2094,FALSE,-12.72257462,20,10,belitz
167.4412534,164.1661994,171.3816667,183.2094,FALSE,-15.76814659,20,10,belitz
177.1794679,175.3306667,179.1011761,183.2094,FALSE,-6.029932098,20,10,belitz
179.4726261,172.989391,190.0517312,183.2094,TRUE,-3.736773914,20,10,belitz
172.3098277,168.9449481,186.945454,183.2094,TRUE,-10.89957231,20,10,belitz
185.0907249,172.1960373,193.1196114,183.2094,TRUE,1.881324859,20,10,belitz
178.1187848,173.8087403,189.7001332,183.2094,TRUE,-5.090615157,20,10,belitz
175.7955073,173.8501732,183.2263462,183.2094,TRUE,-7.413892701,20,10,belitz
177.3736373,170.016864,186.8045792,183.2094,TRUE,-5.835762703,20,10,belitz
170.3181789,157.941953,186.6030634,183.2094,TRUE,-12.89122109,20,10,belitz
170.6355972,167.867994,179.8416578,183.2094,FALSE,-12.57380279,20,10,belitz
180.5320725,176.9339092,184.4240305,183.2094,TRUE,-2.677327484,20,10,belitz
168.9954688,162.3409908,175.9382725,183.2094,FALSE,-14.21393123,20,10,belitz
179.8264966,170.2927285,189.8158222,183.2094,TRUE,-3.38290342,20,10,belitz
172.8300268,168.8098001,186.3358916,183.2094,TRUE,-10.37937321,20,10,belitz
177.6934856,167.4511953,188.7509779,183.2094,TRUE,-5.515914355,20,10,belitz
177.5988161,172.7638453,191.8159689,183.2094,TRUE,-5.610583896,20,10,belitz
171.6403098,164.9466983,177.4033312,183.2094,FALSE,-11.56909017,20,10,belitz
169.9302723,159.5725778,178.0335581,183.2094,FALSE,-13.27912771,20,10,belitz
173.3849553,171.9570402,176.1252855,183.2094,FALSE,-9.824444738,20,10,belitz
184.3615246,171.7997482,191.5468373,183.2094,TRUE,1.152124602,20,10,belitz
168.3086827,166.7293367,170.709341,183.2094,FALSE,-14.90071731,20,10,belitz
183.8212083,177.0002272,192.0546304,183.2094,TRUE,0.611808262,20,10,belitz
180.6708282,171.7181402,192.1468287,183.2094,TRUE,-2.538571842,20,10,belitz
180.6219789,176.4439751,191.1765861,183.2094,TRUE,-2.587421131,20,10,belitz
166.8964043,158.6376723,177.3457299,183.2094,FALSE,-16.31299574,20,10,belitz
185.4778744,179.0029226,199.1685017,183.2094,TRUE,2.268474359,20,10,belitz
153.2606629,134.7360913,163.5076599,167.6472,FALSE,-14.38653715,20,20,belitz
144.4533208,141.6645578,147.7199516,167.6472,FALSE,-23.19387924,20,20,belitz
157.1015476,149.8496673,172.5301421,167.6472,TRUE,-10.54565237,20,20,belitz
172.977107,157.3055089,186.0032612,167.6472,TRUE,5.32990703,20,20,belitz
155.2204308,148.8378108,172.7193093,167.6472,TRUE,-12.42676924,20,20,belitz
158.4349882,155.9005962,165.6296659,167.6472,FALSE,-9.212211818,20,20,belitz
155.6906466,144.1817491,172.9807832,167.6472,TRUE,-11.9565534,20,20,belitz
172.9975567,170.8361635,175.8331171,167.6472,FALSE,5.350356652,20,20,belitz
171.615574,157.103365,189.835566,167.6472,TRUE,3.968374036,20,20,belitz
163.8775074,140.480796,182.2617666,167.6472,TRUE,-3.769692581,20,20,belitz
158.763756,147.3227854,175.4156739,167.6472,TRUE,-8.883443987,20,20,belitz
156.5612791,155.5546371,156.8994497,167.6472,FALSE,-11.08592091,20,20,belitz
148.9852713,147.275783,151.9069143,167.6472,FALSE,-18.66192875,20,20,belitz
165.7974057,147.0910076,185.6441888,167.6472,TRUE,-1.849794281,20,20,belitz
177.96506,168.5614681,201.7187985,167.6472,FALSE,10.31785995,20,20,belitz
158.3506504,144.3789267,178.5559473,167.6472,TRUE,-9.296549575,20,20,belitz
159.8167399,153.0618127,169.6672308,167.6472,TRUE,-7.830460072,20,20,belitz
161.8839129,158.5720935,166.7997057,167.6472,FALSE,-5.763287111,20,20,belitz
160.7024547,159.0390211,163.5680342,167.6472,FALSE,-6.944745345,20,20,belitz
157.8276473,155.2228503,160.9727631,167.6472,FALSE,-9.819552655,20,20,belitz
156.0908116,145.5281491,166.5767881,167.6472,FALSE,-11.55638842,20,20,belitz
158.9063553,145.6885726,172.2761167,167.6472,TRUE,-8.740844728,20,20,belitz
154.1111033,151.9255365,154.4914654,167.6472,FALSE,-13.53609669,20,20,belitz
156.4733485,154.6332712,158.3143666,167.6472,FALSE,-11.17385154,20,20,belitz
166.0963817,156.8729244,178.951901,167.6472,TRUE,-1.550818305,20,20,belitz
171.2230737,151.6958379,191.9143729,167.6472,TRUE,3.575873655,20,20,belitz
143.0413974,138.7729806,158.9410713,167.6472,FALSE,-24.60580262,20,20,belitz
156.0961034,149.1510833,172.7683853,167.6472,TRUE,-11.55109655,20,20,belitz
169.4432491,148.9843551,178.0807521,167.6472,TRUE,1.796049131,20,20,belitz
150.8876311,144.3290196,162.3977595,167.6472,FALSE,-16.75956886,20,20,belitz
133.6819821,105.5524065,178.9790271,134.3476,TRUE,-0.665617909,20,40,belitz
102.9620665,96.17715114,110.034357,134.3476,FALSE,-31.38553351,20,40,belitz
138.4658209,119.5304483,157.767789,134.3476,TRUE,4.118220854,20,40,belitz
148.8375846,132.7962071,178.1992235,134.3476,TRUE,14.48998462,20,40,belitz
129.275219,98.10302862,154.0359117,134.3476,TRUE,-5.072381035,20,40,belitz
116.3401741,96.05899277,143.325983,134.3476,TRUE,-18.00742588,20,40,belitz
94.18837176,50.78726654,163.1956922,134.3476,TRUE,-40.15922824,20,40,belitz
150.8987985,137.4881937,172.1443408,134.3476,FALSE,16.5511985,20,40,belitz
125.6823244,119.2316356,151.690224,134.3476,TRUE,-8.665275637,20,40,belitz
117.8857469,90.43458596,157.6957342,134.3476,TRUE,-16.46185311,20,40,belitz
116.9743093,89.02566855,138.4479597,134.3476,TRUE,-17.37329072,20,40,belitz
140.2360692,138.0444282,147.9708905,134.3476,FALSE,5.888469209,20,40,belitz
119.7425569,116.031707,130.9738446,134.3476,FALSE,-14.60504308,20,40,belitz
136.5153286,135.7468092,136.8974504,134.3476,FALSE,2.16772862,20,40,belitz
120.7838222,114.6010115,140.0060055,134.3476,TRUE,-13.56377779,20,40,belitz
128.3939181,104.4085916,160.451902,134.3476,TRUE,-5.953681852,20,40,belitz
127.9597214,103.1712811,158.7206125,134.3476,TRUE,-6.38787857,20,40,belitz
111.2022199,85.04121926,145.561528,134.3476,TRUE,-23.14538005,20,40,belitz
142.026535,136.274605,149.0504894,134.3476,FALSE,7.678934992,20,40,belitz
99.91799457,79.20671283,113.4940034,134.3476,FALSE,-34.42960543,20,40,belitz
129.2040552,93.23336233,174.6462449,134.3476,TRUE,-5.143544829,20,40,belitz
118.6761825,106.2335135,158.1221463,134.3476,TRUE,-15.67141751,20,40,belitz
137.3397229,124.5725702,152.4520794,134.3476,TRUE,2.992122876,20,40,belitz
147.1163535,131.9022873,182.861492,134.3476,TRUE,12.76875347,20,40,belitz
141.0749088,117.5445999,166.1119171,134.3476,TRUE,6.727308806,20,40,belitz
140.8757127,118.49095,173.2520355,134.3476,TRUE,6.528112712,20,40,belitz
88.23364804,69.06605385,154.8600435,134.3476,TRUE,-46.11395196,20,40,belitz
121.3456003,109.9040172,138.4643459,134.3476,TRUE,-13.00199966,20,40,belitz
142.1298068,118.6835376,164.2927955,134.3476,TRUE,7.782206806,20,40,belitz
149.5269551,133.4687728,159.4229456,134.3476,TRUE,15.17935513,20,40,belitz
173.9264834,170.3852728,181.2413312,183.2094,FALSE,-9.282916591,50,10,belitz
171.06473,168.7727398,174.1111053,183.2094,FALSE,-12.14466998,50,10,belitz
181.6171625,175.304439,188.2421675,183.2094,TRUE,-1.59223746,50,10,belitz
176.3240696,173.0804076,185.1332198,183.2094,TRUE,-6.88533044,50,10,belitz
173.6559851,168.0439833,185.9314306,183.2094,TRUE,-9.553414863,50,10,belitz
171.8667395,163.3489821,182.1745263,183.2094,FALSE,-11.34266052,50,10,belitz
177.832777,170.1555638,186.6687791,183.2094,TRUE,-5.376622976,50,10,belitz
180.9739531,172.3669984,187.6113176,183.2094,TRUE,-2.235446866,50,10,belitz
178.4379337,174.2516021,190.442927,183.2094,TRUE,-4.77146634,50,10,belitz
176.1953258,169.1769617,187.8401403,183.2094,TRUE,-7.014074232,50,10,belitz
180.6202476,176.5625003,186.6337709,183.2094,TRUE,-2.589152383,50,10,belitz
173.428985,168.346553,182.2481523,183.2094,FALSE,-9.780414964,50,10,belitz
182.5394399,175.5899396,189.4809561,183.2094,TRUE,-0.669960103,50,10,belitz
178.5741304,171.066285,183.2258083,183.2094,TRUE,-4.635269629,50,10,belitz
169.353463,165.9352233,173.1608437,183.2094,FALSE,-13.855937,50,10,belitz
180.4097729,174.9707971,186.1305651,183.2094,TRUE,-2.799627088,50,10,belitz
174.2924927,168.903941,181.9529636,183.2094,FALSE,-8.916907335,50,10,belitz
177.0944752,168.0811506,188.4394567,183.2094,TRUE,-6.114924809,50,10,belitz
176.3075766,171.9629924,182.3331442,183.2094,FALSE,-6.901823446,50,10,belitz
182.103825,171.6072356,187.7262416,183.2094,TRUE,-1.105575007,50,10,belitz
179.2706275,172.6769657,188.3286477,183.2094,TRUE,-3.938772478,50,10,belitz
176.7992963,168.688397,188.9949045,183.2094,TRUE,-6.410103735,50,10,belitz
180.4563295,170.6365156,189.0901424,183.2094,TRUE,-2.753070466,50,10,belitz
181.3341738,173.7034767,190.3147219,183.2094,TRUE,-1.875226227,50,10,belitz
173.7340611,168.72374,183.1963494,183.2094,FALSE,-9.475338946,50,10,belitz
178.4879565,173.123261,182.7454901,183.2094,FALSE,-4.721443545,50,10,belitz
176.3584557,170.5440673,184.6069675,183.2094,TRUE,-6.850944276,50,10,belitz
179.7932063,173.6755065,190.1989443,183.2094,TRUE,-3.416193684,50,10,belitz
169.2815845,167.7942173,171.2427588,183.2094,FALSE,-13.92781554,50,10,belitz
172.9908978,171.0009927,176.953045,183.2094,FALSE,-10.21850225,50,10,belitz
154.3375977,143.927194,163.5558469,167.6472,FALSE,-13.30960225,50,20,belitz
163.9024098,150.4208497,170.0519933,167.6472,TRUE,-3.744790214,50,20,belitz
153.3778695,144.4897259,163.3894951,167.6472,FALSE,-14.26933054,50,20,belitz
162.6899284,153.3926108,173.0277096,167.6472,TRUE,-4.957271641,50,20,belitz
158.6768178,140.2077948,167.7902809,167.6472,TRUE,-8.970382225,50,20,belitz
158.5398599,153.7691313,173.3718933,167.6472,TRUE,-9.107340122,50,20,belitz
155.5231763,145.8103657,163.1383177,167.6472,FALSE,-12.12402373,50,20,belitz
160.5364327,152.912248,171.132774,167.6472,TRUE,-7.110767275,50,20,belitz
154.3747417,141.6491204,165.3976286,167.6472,FALSE,-13.27245835,50,20,belitz
148.3221184,133.5351483,157.9124776,167.6472,FALSE,-19.32508164,50,20,belitz
155.2772201,150.5635221,170.7184496,167.6472,TRUE,-12.36997986,50,20,belitz
162.2408904,152.6085046,172.6873893,167.6472,TRUE,-5.406309615,50,20,belitz
159.7272459,153.8663268,168.5860335,167.6472,TRUE,-7.919954135,50,20,belitz
160.5943528,159.8691593,162.2582118,167.6472,FALSE,-7.05284721,50,20,belitz
152.496746,147.0407754,170.9116471,167.6472,TRUE,-15.15045402,50,20,belitz
157.8814529,150.6260281,166.5013689,167.6472,FALSE,-9.765747131,50,20,belitz
156.954774,145.122736,169.6685421,167.6472,TRUE,-10.69242599,50,20,belitz
160.237707,152.2081154,169.8256821,167.6472,TRUE,-7.409493019,50,20,belitz
150.8854262,146.4530359,159.1355359,167.6472,FALSE,-16.76177382,50,20,belitz
161.4575387,146.5315252,172.3014469,167.6472,TRUE,-6.189661275,50,20,belitz
160.5996188,157.127067,175.4101826,167.6472,TRUE,-7.047581157,50,20,belitz
146.3128017,140.8159939,157.885981,167.6472,FALSE,-21.33439829,50,20,belitz
149.4876091,137.7263524,157.635159,167.6472,FALSE,-18.15959087,50,20,belitz
145.594539,136.2778792,171.2008958,167.6472,TRUE,-22.05266098,50,20,belitz
152.4222732,148.3457379,160.4894727,167.6472,FALSE,-15.22492676,50,20,belitz
154.3061991,148.4436887,162.8008655,167.6472,FALSE,-13.34100093,50,20,belitz
168.3872063,156.8668132,177.3494143,167.6472,TRUE,0.740006347,50,20,belitz
156.5539044,147.0546558,164.1972388,167.6472,FALSE,-11.09329561,50,20,belitz
152.0646402,146.1766087,162.705105,167.6472,FALSE,-15.58255977,50,20,belitz
161.495627,148.1784982,166.4563373,167.6472,FALSE,-6.151572979,50,20,belitz
132.846431,122.5194124,157.0721276,134.3476,NA,-1.501168973,50,40,belitz
131.1604846,121.1269158,151.9953928,134.3476,NA,-3.187115362,50,40,belitz
125.4039737,115.8084296,140.3491288,134.3476,NA,-8.943626261,50,40,belitz
92.61190547,42.45576298,132.1048294,134.3476,NA,-41.73569453,50,40,belitz
129.2770685,106.148667,151.7644061,134.3476,NA,-5.070531476,50,40,belitz
131.2030438,110.4850767,146.098257,134.3476,NA,-3.144556165,50,40,belitz
148.5146,147.1951,152.4618,134.3476,,14.167,,,
113.9658672,95.52830979,123.5402055,134.3476,NA,-20.38173281,50,40,belitz
123.3984259,106.8707777,133.3691211,134.3476,NA,-10.94917412,50,40,belitz
115.6534982,112.1392564,119.4309262,134.3476,NA,-18.69410177,50,40,belitz
119.8209577,113.8154143,136.8455503,134.3476,NA,-14.52664234,50,40,belitz
127.2715139,113.3721249,149.5063757,134.3476,NA,-7.076086061,50,40,belitz
125.9818846,105.9130468,138.6769304,134.3476,NA,-8.365715441,50,40,belitz
85.37191577,58.13226085,130.6941583,134.3476,NA,-48.97568423,50,40,belitz
127.027555,110.7781853,142.3284576,134.3476,NA,-7.320045044,50,40,belitz
128.7532129,117.2906094,150.2922621,134.3476,NA,-5.594387091,50,40,belitz
121.151639,108.0518395,130.9322672,134.3476,NA,-13.19596103,50,40,belitz
134.0588805,113.5180865,161.7130137,134.3476,NA,-0.288719493,50,40,belitz
118.0554184,108.2316287,150.2681951,134.3476,NA,-16.29218157,50,40,belitz
117.2707819,105.1040767,132.7707379,134.3476,NA,-17.07681805,50,40,belitz
148.7290462,132.4918181,160.6808229,134.3476,NA,14.38144615,50,40,belitz
129.5596847,120.0336458,142.4256261,134.3476,NA,-4.787915303,50,40,belitz
121.0756825,104.7360392,133.1655498,134.3476,NA,-13.27191746,50,40,belitz
134.812315,126.5190409,150.7014528,134.3476,NA,0.464714992,50,40,belitz
87.25354641,63.97452969,151.4950969,134.3476,NA,-47.09405359,50,40,belitz
147.1010881,141.2945206,161.0809697,134.3476,NA,12.75348805,50,40,belitz
132.9816,117.7826,151.3004,134.3476,,-1.366,,,
127.2468386,114.5174235,139.6375866,134.3476,NA,-7.100761358,50,40,belitz
130.4896482,113.0981224,149.1518201,134.3476,NA,-3.857951762,50,40,belitz
122.3500183,104.4881277,145.1737661,134.3476,NA,-11.99758173,50,40,belitz
