estimate,lowci,highci,true_ninty,pass,distance,obs,sd,estimator,ci
217.2545112,212.8307094,227.3198049,212.76,FALSE,4.4945112,10,10,belitz,14.48909552
208.5577871,205.4869266,218.7399313,212.76,TRUE,4.2022129,10,10,belitz,13.25300467
210.0347304,201.5373877,213.075307,212.76,TRUE,2.7252696,10,10,belitz,11.53791922
203.2323954,202.193418,215.793336,212.76,TRUE,9.5276046,10,10,belitz,13.59991805
218.7645758,201.8153809,220.2086775,212.76,TRUE,6.0045758,10,10,belitz,18.39329663
219.0865948,197.5421388,222.8627117,212.76,TRUE,6.3265948,10,10,belitz,25.32057296
208.3199206,202.5068036,216.0995861,212.76,TRUE,4.4400794,10,10,belitz,13.59278251
213.8437219,205.3327429,216.6454386,212.76,TRUE,1.0837219,10,10,belitz,11.31269567
211.7908958,207.3709263,223.9641325,212.76,TRUE,0.9691042,10,10,belitz,16.59320622
215.9677683,203.3272134,225.9289668,212.76,TRUE,3.2077683,10,10,belitz,22.60175334
213.0767082,201.7381889,220.2641935,212.76,TRUE,0.3167082,10,10,belitz,18.5260046
217.5926468,205.9631273,224.9446389,212.76,TRUE,4.8326468,10,10,belitz,18.98151159
206.0955143,204.090758,212.3839386,212.76,FALSE,6.6644857,10,10,belitz,8.293180527
209.9814774,208.4700357,219.1579273,212.76,TRUE,2.7785226,10,10,belitz,10.68789162
206.8124148,195.1094501,211.324877,212.76,FALSE,5.9475852,10,10,belitz,16.21542687
212.3724919,201.7759579,213.0968052,212.76,TRUE,0.3875081,10,10,belitz,11.32084732
212.4078116,203.9219355,219.3574974,212.76,TRUE,0.3521884,10,10,belitz,15.43556192
209.7119972,204.5784,211.4668838,212.76,FALSE,3.0480028,10,10,belitz,6.888483848
219.4142392,191.9721322,223.115042,212.76,TRUE,6.6542392,10,10,belitz,31.14290982
200.1253376,196.8748094,201.9615095,212.76,FALSE,12.6346624,10,10,belitz,5.086700097
208.0685526,196.0754048,214.1186987,212.76,TRUE,4.6914474,10,10,belitz,18.04329389
210.4051802,199.1569665,214.639779,212.76,TRUE,2.3548198,10,10,belitz,15.48281252
212.1638847,200.8631618,215.5137212,212.76,TRUE,0.5961153,10,10,belitz,14.65055946
209.5795448,199.4970008,215.4369526,212.76,TRUE,3.1804552,10,10,belitz,15.93995186
216.8302067,204.7565751,227.2753779,212.76,TRUE,4.0702067,10,10,belitz,22.51880285
208.4567086,207.6887221,212.1415827,212.76,FALSE,4.3032914,10,10,belitz,4.452860671
217.6107418,217.108729,217.9111299,212.76,FALSE,4.8507418,10,10,belitz,0.802400834
209.1013503,202.1316446,215.9017671,212.76,TRUE,3.6586497,10,10,belitz,13.77012246
214.7819958,204.4183364,221.7176381,212.76,TRUE,2.0219958,10,10,belitz,17.29930177
209.4035835,202.0847062,211.9451338,212.76,FALSE,3.3564165,10,10,belitz,9.8604276
224.5009842,216.062652,237.0829811,225.6,TRUE,1.0990158,10,20,belitz,21.02032903
221.381645,204.2384524,234.08443,225.6,TRUE,4.218355,10,20,belitz,29.84597766
230.1833691,208.1704532,236.2352602,225.6,TRUE,4.5833691,10,20,belitz,28.064807
223.432066,206.7271753,227.7186903,225.6,TRUE,2.167934,10,20,belitz,20.99151494
210.5336997,200.491415,212.9302103,225.6,FALSE,15.0663003,10,20,belitz,12.43879532
233.9484717,207.4076505,243.3212411,225.6,TRUE,8.3484717,10,20,belitz,35.91359056
234.0941633,225.046198,241.6845482,225.6,TRUE,8.4941633,10,20,belitz,16.63835018
218.8838701,206.5409366,220.8222965,225.6,FALSE,6.7161299,10,20,belitz,14.28135988
226.7856358,197.2887819,232.0801782,225.6,TRUE,1.1856358,10,20,belitz,34.79139631
231.8384502,213.0828551,241.6901104,225.6,TRUE,6.2384502,10,20,belitz,28.60725528
222.2926637,215.0472581,231.6849731,225.6,TRUE,3.3073363,10,20,belitz,16.63771495
236.5717259,221.150724,248.3077644,225.6,TRUE,10.9717259,10,20,belitz,27.15704039
224.0708173,213.5790641,232.1473685,225.6,TRUE,1.5291827,10,20,belitz,18.56830439
218.3130633,209.3576884,227.9321189,225.6,TRUE,7.2869367,10,20,belitz,18.57443055
225.9280154,200.7749864,234.1416426,225.6,TRUE,0.3280154,10,20,belitz,33.36665622
217.0733954,204.6696312,228.1779761,225.6,TRUE,8.5266046,10,20,belitz,23.50834488
223.8657369,199.0226019,234.504145,225.6,TRUE,1.7342631,10,20,belitz,35.48154317
219.6980558,209.0342117,228.4547452,225.6,TRUE,5.9019442,10,20,belitz,19.42053356
238.728879,218.522543,247.9331907,225.6,TRUE,13.128879,10,20,belitz,29.41064765
202.2986326,197.5461916,209.0768348,225.6,FALSE,23.3013674,10,20,belitz,11.53064324
225.6760563,211.1694863,230.5779452,225.6,TRUE,0.0760563,10,20,belitz,19.40845885
244.9385491,221.6847186,251.112717,225.6,TRUE,19.3385491,10,20,belitz,29.42799839
230.2494001,208.4354484,238.3963457,225.6,TRUE,4.6494001,10,20,belitz,29.96089729
224.9946014,189.2056979,235.0597985,225.6,TRUE,0.6053986,10,20,belitz,45.85410055
225.0055866,196.9388004,231.4697905,225.6,TRUE,0.5944134,10,20,belitz,34.53099003
229.750778,217.6796046,242.0231423,225.6,TRUE,4.150778,10,20,belitz,24.34353765
234.6971387,201.4977398,241.4917931,225.6,TRUE,9.0971387,10,20,belitz,39.99405332
239.0853321,230.0527281,248.0725873,225.6,FALSE,13.4853321,10,20,belitz,18.01985922
218.6464088,205.498486,229.3688647,225.6,TRUE,6.9535912,10,20,belitz,23.87037872
234.99831,225.4748067,249.0170333,225.6,TRUE,9.39831,10,20,belitz,23.54222655
240.7273321,223.4174616,252.6650998,251.79,TRUE,11.0626679,10,40,belitz,29.24763822
235.0268405,221.5267719,252.581817,251.79,TRUE,16.7631595,10,40,belitz,31.05504507
240.5571661,220.2844154,258.5297979,251.79,TRUE,11.2328339,10,40,belitz,38.24538255
258.0450355,246.068223,269.2676114,251.79,TRUE,6.2550355,10,40,belitz,23.19938846
238.7328538,201.713909,249.6815599,251.79,FALSE,13.0571462,10,40,belitz,47.96765092
274.5663361,225.370864,283.3692552,251.79,TRUE,22.7763361,10,40,belitz,57.9983912
302.5461783,240.9896432,327.1654173,251.79,TRUE,50.7561783,10,40,belitz,86.1757741
260.8912589,190.9064512,275.6676583,251.79,TRUE,9.1012589,10,40,belitz,84.76120708
288.710279,217.1177182,326.9446992,251.79,TRUE,36.920279,10,40,belitz,109.8269811
250.8017326,206.5229485,268.905881,251.79,TRUE,0.9882674,10,40,belitz,62.3829325
250.0607398,239.3658351,263.315787,251.79,TRUE,1.7292602,10,40,belitz,23.94995197
295.6186559,233.5565504,316.3832699,251.79,TRUE,43.8286559,10,40,belitz,82.82671944
255.3342671,227.7392297,281.6656334,251.79,TRUE,3.5442671,10,40,belitz,53.92640369
247.9878714,180.2766421,267.3014167,251.79,TRUE,3.8021286,10,40,belitz,87.02477462
242.8589305,227.4840077,257.6784652,251.79,TRUE,8.9310695,10,40,belitz,30.19445751
223.0128371,195.8282061,240.5817681,251.79,FALSE,28.7771629,10,40,belitz,44.753562
313.1229517,229.4530058,339.5089614,251.79,TRUE,61.3329517,10,40,belitz,110.0559555
248.1959783,208.960807,260.8200116,251.79,TRUE,3.5940217,10,40,belitz,51.85920458
244.10126,222.1219263,262.7431935,251.79,TRUE,7.68874,10,40,belitz,40.62126715
231.9001174,167.5406542,265.0892566,251.79,TRUE,19.8898826,10,40,belitz,97.54860236
246.3398168,226.7914117,272.6965787,251.79,TRUE,5.4501832,10,40,belitz,45.90516691
241.4569583,226.4606131,247.9912833,251.79,FALSE,10.3330417,10,40,belitz,21.53067019
248.5071277,211.2595775,279.9478833,251.79,TRUE,3.2828723,10,40,belitz,68.68830571
268.438317,241.5217645,286.3449579,251.79,TRUE,16.648317,10,40,belitz,44.82319345
232.4455694,206.0685104,261.3379712,251.79,TRUE,19.3444306,10,40,belitz,55.26946077
261.7903799,215.543255,279.8824419,251.79,TRUE,10.0003799,10,40,belitz,64.33918692
257.4675284,219.6319622,269.8898668,251.79,TRUE,5.6775284,10,40,belitz,50.2579046
197.6388748,190.594689,206.3678131,251.79,FALSE,54.1511252,10,40,belitz,15.77312408
274.4412402,230.417249,311.1311433,251.79,TRUE,22.6512402,10,40,belitz,80.7138943
242.1463385,224.9226406,257.1445808,251.79,TRUE,9.6436615,10,40,belitz,32.22194028
209.5296101,207.4586838,214.7120566,212.76,TRUE,3.2303899,20,10,belitz,7.253372788
211.5791787,208.1218396,215.9112333,212.76,TRUE,1.1808213,20,10,belitz,7.789393679
209.9127272,204.5382293,211.1868733,212.76,FALSE,2.8472728,20,10,belitz,6.648643992
218.2131261,201.1843855,219.8784035,212.76,TRUE,5.4531261,20,10,belitz,18.69401799
206.3781665,196.7978799,214.2613762,212.76,TRUE,6.3818335,20,10,belitz,17.46349621
216.6663518,203.4891519,219.2752503,212.76,TRUE,3.9063518,20,10,belitz,15.78609841
213.02451,210.7219678,217.9259869,212.76,TRUE,0.26451,20,10,belitz,7.204019139
205.441513,203.3169305,208.2314616,212.76,FALSE,7.318487,20,10,belitz,4.914531073
207.9944845,201.2698261,209.6095186,212.76,FALSE,4.7655155,20,10,belitz,8.339692448
209.7261111,207.5466632,212.6917673,212.76,FALSE,3.0338889,20,10,belitz,5.145104047
213.4161469,205.0485826,215.8850136,212.76,TRUE,0.6561469,20,10,belitz,10.83643108
218.5483717,210.2490763,223.6034566,212.76,TRUE,5.7883717,20,10,belitz,13.35438035
215.4929342,211.3398478,220.1756908,212.76,TRUE,2.7329342,20,10,belitz,8.835842938
215.2803681,206.3172229,220.3047047,212.76,TRUE,2.5203681,20,10,belitz,13.98748184
222.6810175,213.6957028,226.6271675,212.76,FALSE,9.9210175,20,10,belitz,12.93146476
212.3854904,206.5327135,219.0279129,212.76,TRUE,0.3745096,20,10,belitz,12.49519944
210.2057169,206.4165813,212.2674268,212.76,FALSE,2.5542831,20,10,belitz,5.850845428
209.254961,205.9754174,211.3176217,212.76,FALSE,3.505039,20,10,belitz,5.342204304
214.0810249,208.6849338,220.7840227,212.76,TRUE,1.3210249,20,10,belitz,12.09908895
212.8785457,207.8182455,214.0599277,212.76,TRUE,0.1185457,20,10,belitz,6.241682215
215.3424706,211.2848857,219.637184,212.76,TRUE,2.5824706,20,10,belitz,8.352298302
216.848075,209.3852011,219.3020793,212.76,TRUE,4.088075,20,10,belitz,9.916878215
208.1592278,197.7851943,214.5566086,212.76,TRUE,4.6007722,20,10,belitz,16.77141429
211.2451494,208.3268702,213.3160435,212.76,TRUE,1.5148506,20,10,belitz,4.989173356
214.0233201,204.8298758,220.636169,212.76,TRUE,1.2633201,20,10,belitz,15.80629317
201.1648037,198.8923425,201.9684126,212.76,FALSE,11.5951963,20,10,belitz,3.07607009
207.5140571,204.1028784,209.2034498,212.76,FALSE,5.2459429,20,10,belitz,5.100571382
205.9338446,204.2999218,206.8088806,212.76,FALSE,6.8261554,20,10,belitz,2.508958719
218.9144373,204.9563505,222.3701926,212.76,TRUE,6.1544373,20,10,belitz,17.41384215
211.5916471,204.246301,214.5352191,212.76,TRUE,1.1683529,20,10,belitz,10.28891813
223.0653683,216.5283875,232.6519637,225.6,TRUE,2.5346317,20,20,belitz,16.12357619
229.5800378,207.8687735,257.0129953,225.6,TRUE,3.9800378,20,20,belitz,49.14422179
225.5436771,210.3366688,232.3344091,225.6,TRUE,0.0563229,20,20,belitz,21.99774032
212.4536673,208.3597023,216.5887436,225.6,FALSE,13.1463327,20,20,belitz,8.229041242
225.3960894,213.8162334,236.9449418,225.6,TRUE,0.2039106,20,20,belitz,23.12870835
223.0319404,208.6616772,229.3635585,225.6,TRUE,2.5680596,20,20,belitz,20.70188134
225.2526666,213.9279974,238.2456899,225.6,TRUE,0.3473334,20,20,belitz,24.31769253
227.9192496,213.328044,236.6252269,225.6,TRUE,2.3192496,20,20,belitz,23.29718298
220.4913692,216.95233,224.9165244,225.6,FALSE,5.1086308,20,20,belitz,7.964194349
219.0365605,214.6623444,224.4602253,225.6,FALSE,6.5634395,20,20,belitz,9.797880914
214.5835734,210.0390858,221.0075843,225.6,FALSE,11.0164266,20,20,belitz,10.96849851
211.8880334,205.7493464,217.7236602,225.6,FALSE,13.7119666,20,20,belitz,11.97431385
233.4992526,218.1057756,241.6625511,225.6,TRUE,7.8992526,20,20,belitz,23.55677548
225.9503414,217.940391,235.9192739,225.6,TRUE,0.3503414,20,20,belitz,17.97888297
222.0010267,217.4017692,225.1422254,225.6,FALSE,3.5989733,20,20,belitz,7.740456228
229.4093041,217.564194,238.6022973,225.6,TRUE,3.8093041,20,20,belitz,21.03810325
222.9854025,203.7536722,229.8738555,225.6,TRUE,2.6145975,20,20,belitz,26.12018323
227.3723634,216.4046534,239.1105393,225.6,TRUE,1.7723634,20,20,belitz,22.70588587
223.6082562,214.7306354,234.5903813,225.6,TRUE,1.9917438,20,20,belitz,19.85974593
230.7678048,219.0104302,255.6747389,225.6,TRUE,5.1678048,20,20,belitz,36.6643087
216.0485451,211.8479766,227.0875466,225.6,TRUE,9.5514549,20,20,belitz,15.23956995
219.3789642,211.4020877,225.1183154,225.6,FALSE,6.2210358,20,20,belitz,13.71622773
228.9492845,218.1872601,246.4220539,225.6,TRUE,3.3492845,20,20,belitz,28.23479382
225.0367848,218.6646756,234.7543738,225.6,TRUE,0.5632152,20,20,belitz,16.08969813
218.6074796,213.3689802,222.7680394,225.6,FALSE,6.9925204,20,20,belitz,9.399059229
222.2459793,216.5094977,229.7848654,225.6,TRUE,3.3540207,20,20,belitz,13.27536765
235.0699982,219.3726094,248.5793015,225.6,TRUE,9.4699982,20,20,belitz,29.20669211
229.8481352,220.4133338,244.477299,225.6,TRUE,4.2481352,20,20,belitz,24.06396513
223.1902319,215.3912656,228.4512019,225.6,TRUE,2.4097681,20,20,belitz,13.05993631
232.1147167,221.19709,249.4800869,225.6,TRUE,6.5147167,20,20,belitz,28.28299687
251.0632576,235.5829922,267.623494,251.79,TRUE,0.7267424,20,40,belitz,32.04050178
255.0712334,222.7990665,309.5462106,251.79,TRUE,3.2812334,20,40,belitz,86.74714401
261.4290237,237.8477751,274.7580761,251.79,TRUE,9.6390237,20,40,belitz,36.91030099
229.4043235,211.5912766,236.5700058,251.79,FALSE,22.3856765,20,40,belitz,24.97872914
251.0529061,237.9456459,269.7912801,251.79,TRUE,0.7370939,20,40,belitz,31.84563417
269.0142266,235.1316631,312.4710031,251.79,TRUE,17.2242266,20,40,belitz,77.33934002
257.6968049,221.4856968,274.672908,251.79,TRUE,5.9068049,20,40,belitz,53.18721123
250.7568507,233.0487035,264.9927688,251.79,TRUE,1.0331493,20,40,belitz,31.94406535
250.6850528,234.0593264,284.7519573,251.79,TRUE,1.1049472,20,40,belitz,50.69263083
247.905884,234.3220129,264.5066342,251.79,TRUE,3.884116,20,40,belitz,30.18462122
243.5500775,217.8358972,262.4425995,251.79,TRUE,8.2399225,20,40,belitz,44.60670229
262.5257073,232.2774175,287.6816161,251.79,TRUE,10.7357073,20,40,belitz,55.40419868
263.4022321,229.5252458,288.6242482,251.79,TRUE,11.6122321,20,40,belitz,59.09900238
253.0326166,230.1849314,265.5008514,251.79,TRUE,1.2426166,20,40,belitz,35.31591998
244.3050527,221.7057095,269.4499724,251.79,TRUE,7.4849473,20,40,belitz,47.74426299
269.7008793,239.1575682,287.1801812,251.79,TRUE,17.9108793,20,40,belitz,48.02261302
265.7624173,233.8705809,278.1020813,251.79,TRUE,13.9724173,20,40,belitz,44.2315004
232.9506409,216.1343263,254.1709954,251.79,TRUE,18.8393591,20,40,belitz,38.03666908
262.8614183,244.8153144,298.3280837,251.79,TRUE,11.0714183,20,40,belitz,53.51276935
241.0968527,214.2211215,269.1932944,251.79,TRUE,10.6931473,20,40,belitz,54.97217289
258.2768657,230.686861,272.1042694,251.79,TRUE,6.4868657,20,40,belitz,41.41740845
242.7791872,225.3170609,253.6216825,251.79,TRUE,9.0108128,20,40,belitz,28.30462163
259.8314883,231.5361017,281.7044323,251.79,TRUE,8.0414883,20,40,belitz,50.1683306
259.3505805,236.7920893,268.6831869,251.79,TRUE,7.5605805,20,40,belitz,31.89109759
252.3295389,231.4372243,272.2743625,251.79,TRUE,0.5395389,20,40,belitz,40.83713822
247.7819626,238.0299291,260.3145068,251.79,TRUE,4.0080374,20,40,belitz,22.28457773
265.6789008,233.3565535,296.1822824,251.79,TRUE,13.8889008,20,40,belitz,62.82572894
244.7655465,195.8604944,258.3032213,251.79,TRUE,7.0244535,20,40,belitz,62.44272692
247.0862368,231.8644186,269.6386174,251.79,TRUE,4.7037632,20,40,belitz,37.77419884
246.6316941,230.1136323,254.9466357,251.79,TRUE,5.1583059,20,40,belitz,24.8330034
212.7091203,208.4983782,215.3480237,212.76,TRUE,0.0508797,50,10,belitz,6.849645446
213.4614082,210.7314511,218.0974903,212.76,TRUE,0.7014082,50,10,belitz,7.366039191
208.5803971,202.6938135,211.3173538,212.76,FALSE,4.1796029,50,10,belitz,8.62354033
214.0224562,209.6973155,217.8139007,212.76,TRUE,1.2624562,50,10,belitz,8.116585168
207.386823,199.6842767,213.2354169,212.76,TRUE,5.373177,50,10,belitz,13.55114017
215.8360354,206.2988641,224.5575528,212.76,TRUE,3.0760354,50,10,belitz,18.25868866
211.9376331,207.4182217,215.7788653,212.76,TRUE,0.8223669,50,10,belitz,8.360643615
210.6944749,205.9379707,214.3548242,212.76,TRUE,2.0655251,50,10,belitz,8.416853526
211.0441389,206.764335,214.3519864,212.76,TRUE,1.7158611,50,10,belitz,7.587651431
212.8159728,208.9479634,216.6880518,212.76,TRUE,0.0559728,50,10,belitz,7.740088369
209.2914443,207.6744102,211.290655,212.76,FALSE,3.4685557,50,10,belitz,3.616244836
209.2480142,205.7846169,210.715842,212.76,FALSE,3.5119858,50,10,belitz,4.931225012
213.4668957,207.9538871,215.6587745,212.76,TRUE,0.7068957,50,10,belitz,7.704887315
211.3159341,208.0409757,214.1252976,212.76,TRUE,1.4440659,50,10,belitz,6.084321966
213.1692776,205.3432348,217.460988,212.76,TRUE,0.4092776,50,10,belitz,12.11775327
207.6977619,206.2894328,208.997258,212.76,FALSE,5.0622381,50,10,belitz,2.707825226
214.9345013,212.149625,218.3419397,212.76,TRUE,2.1745013,50,10,belitz,6.192314669
213.1417976,208.3533239,216.2309697,212.76,TRUE,0.3817976,50,10,belitz,7.877645779
206.4381662,205.1894589,207.8189251,212.76,FALSE,6.3218338,50,10,belitz,2.62946623
209.2394733,206.6323529,211.6475459,212.76,FALSE,3.5205267,50,10,belitz,5.015193001
209.6184338,206.7781828,210.8983987,212.76,FALSE,3.1415662,50,10,belitz,4.120215946
211.9837933,205.6390183,225.8716983,212.76,TRUE,0.7762067,50,10,belitz,20.23267996
210.045921,207.958878,212.1939056,212.76,FALSE,2.714079,50,10,belitz,4.235027605
210.2592478,207.5389371,212.5095234,212.76,FALSE,2.5007522,50,10,belitz,4.970586293
211.2495341,206.4231194,212.6214979,212.76,FALSE,1.5104659,50,10,belitz,6.198378554
209.991016,206.7936237,211.8631954,212.76,FALSE,2.768984,50,10,belitz,5.069571717
212.3509147,210.5179173,215.0858791,212.76,TRUE,0.4090853,50,10,belitz,4.567961739
211.8275837,208.8397171,217.4054404,212.76,TRUE,0.9324163,50,10,belitz,8.565723233
215.4491288,207.9294854,219.4165155,212.76,TRUE,2.6891288,50,10,belitz,11.48703004
213.049135,210.7684208,216.7746388,212.76,TRUE,0.289135,50,10,belitz,6.006218056
226.03638,221.1889876,231.281965,225.6,TRUE,0.43638,50,20,belitz,10.0929774
229.0609667,222.2128232,234.750533,225.6,TRUE,3.4609667,50,20,belitz,12.53770985
230.9450088,223.957712,237.3632549,225.6,TRUE,5.3450088,50,20,belitz,13.40554291
220.8249624,214.0926845,226.9169074,225.6,TRUE,4.7750376,50,20,belitz,12.82422297
227.9622973,216.1535427,231.8631918,225.6,TRUE,2.3622973,50,20,belitz,15.70964907
219.8166022,215.6291483,229.2370096,225.6,TRUE,5.7833978,50,20,belitz,13.60786132
225.0268492,216.4763509,231.8106388,225.6,TRUE,0.5731508,50,20,belitz,15.33428787
227.9462469,224.9303966,234.559396,225.6,TRUE,2.3462469,50,20,belitz,9.628999385
218.7142812,213.2720447,224.4401745,225.6,FALSE,6.8857188,50,20,belitz,11.16812978
228.0016659,212.9398619,266.06634,225.6,TRUE,2.4016659,50,20,belitz,53.12647817
219.4184927,212.5207669,230.5554021,225.6,TRUE,6.1815073,50,20,belitz,18.03463524
216.340017,212.7921639,220.4683162,225.6,FALSE,9.259983,50,20,belitz,7.676152307
228.9161404,223.668496,236.5191098,225.6,TRUE,3.3161404,50,20,belitz,12.8506138
229.9841304,223.0301088,238.1424103,225.6,TRUE,4.3841304,50,20,belitz,15.11230149
227.5009838,218.3651186,238.6289941,225.6,TRUE,1.9009838,50,20,belitz,20.26387545
229.4792387,223.1417939,235.293961,225.6,TRUE,3.8792387,50,20,belitz,12.15216709
223.4757278,217.7070049,228.344885,225.6,TRUE,2.1242722,50,20,belitz,10.6378801
230.5771124,221.4354878,237.5518528,225.6,TRUE,4.9771124,50,20,belitz,16.11636495
226.9799349,215.2418471,235.3445969,225.6,TRUE,1.3799349,50,20,belitz,20.10274982
226.3134091,219.271798,232.4132423,225.6,TRUE,0.7134091,50,20,belitz,13.14144429
229.1671876,220.5547069,237.3032676,225.6,TRUE,3.5671876,50,20,belitz,16.74856068
230.0870936,217.1815549,238.5756469,225.6,TRUE,4.4870936,50,20,belitz,21.39409202
228.7845095,218.2168269,240.5390347,225.6,TRUE,3.1845095,50,20,belitz,22.32220785
223.7531295,217.3283771,228.2652696,225.6,TRUE,1.8468705,50,20,belitz,10.93689248
223.0451576,216.2617545,233.5525326,225.6,TRUE,2.5548424,50,20,belitz,17.29077815
222.1869013,216.9107655,231.3412913,225.6,TRUE,3.4130987,50,20,belitz,14.43052576
232.8697169,226.2380566,237.7711793,225.6,FALSE,7.2697169,50,20,belitz,11.53312261
225.7162296,217.162302,232.7344681,225.6,TRUE,0.1162296,50,20,belitz,15.57216607
227.006349,217.571391,242.6353067,225.6,TRUE,1.406349,50,20,belitz,25.06391569
227.0154807,220.7592116,233.778239,225.6,TRUE,1.4154807,50,20,belitz,13.01902744
255.5200539,238.4679659,264.8191646,251.79,TRUE,3.7300539,50,40,belitz,26.35119872
236.1719428,224.3786307,247.1869025,251.79,FALSE,15.6180572,50,40,belitz,22.80827185
249.9522673,229.6587204,260.4977956,251.79,TRUE,1.8377327,50,40,belitz,30.83907517
249.4598357,236.5874162,264.9163806,251.79,TRUE,2.3301643,50,40,belitz,28.32896446
247.3939035,236.5856112,255.2267519,251.79,TRUE,4.3960965,50,40,belitz,18.64114067
258.7098629,249.1169568,275.474341,251.79,TRUE,6.9198629,50,40,belitz,26.35738413
249.340832,233.7646174,261.6602394,251.79,TRUE,2.449168,50,40,belitz,27.89562196
261.9142829,247.6950454,286.1835945,251.79,TRUE,10.1242829,50,40,belitz,38.48854914
247.7093193,225.0197588,263.8174956,251.79,TRUE,4.0806807,50,40,belitz,38.7977368
255.4769069,230.2815527,282.3136136,251.79,TRUE,3.6869069,50,40,belitz,52.03206086
259.1056906,245.4644431,282.3713748,251.79,TRUE,7.3156906,50,40,belitz,36.90693174
256.2470088,239.6015312,288.9385226,251.79,TRUE,4.4570088,50,40,belitz,49.3369914
239.4986283,226.5011559,264.6397567,251.79,TRUE,12.2913717,50,40,belitz,38.13860079
253.0743841,232.6419486,264.3226362,251.79,TRUE,1.2843841,50,40,belitz,31.68068758
264.3455606,240.4365258,281.5083629,251.79,TRUE,12.5555606,50,40,belitz,41.07183708
255.4093795,247.461416,275.5014084,251.79,TRUE,3.6193795,50,40,belitz,28.03999239
269.4165847,249.0395373,301.9521078,251.79,TRUE,17.6265847,50,40,belitz,52.91257058
248.6134131,235.8995971,259.7035552,251.79,TRUE,3.1765869,50,40,belitz,23.80395806
261.2992582,233.9129537,279.3267278,251.79,TRUE,9.5092582,50,40,belitz,45.4137741
239.7848052,223.0605962,253.3456672,251.79,TRUE,12.0051948,50,40,belitz,30.28507101
254.0190311,245.1595516,263.3948332,251.79,TRUE,2.2290311,50,40,belitz,18.23528157
255.8989983,242.5666911,272.3123625,251.79,TRUE,4.1089983,50,40,belitz,29.74567142
250.2167418,234.2593178,268.3084408,251.79,TRUE,1.5732582,50,40,belitz,34.04912304
244.3164556,236.8904519,250.148734,251.79,FALSE,7.4735444,50,40,belitz,13.25828211
261.6840915,243.9510706,268.4100032,251.79,TRUE,9.8940915,50,40,belitz,24.45893262
250.1130399,234.5931507,257.3660091,251.79,TRUE,1.6769601,50,40,belitz,22.77285845
260.4249583,244.919065,281.6122264,251.79,TRUE,8.6349583,50,40,belitz,36.69316135
250.6256771,231.1197369,277.4354131,251.79,TRUE,1.1643229,50,40,belitz,46.31567616
253.0391992,242.7937351,263.5923753,251.79,TRUE,1.2491992,50,40,belitz,20.79864026
247.5662463,237.6712502,255.6938043,251.79,TRUE,4.2237537,50,40,belitz,18.0225541
